Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[154]   -0.64     nan    0.7   -1.68   -1.37   -0.68    0.11     0.33    nan   2.96
dc_1bs[155]    0.03     nan   1.33   -1.46   -1.33   -0.33    1.57     1.77    nan   4.02
dc_1bs[156]   -1.35    0.14   0.44   -1.74   -1.67   -1.46   -1.37    -0.12     10   1.38
dc_1bs[157]   -0.36     nan   0.76   -1.61   -1.23    0.02    0.21     0.32    nan   4.91
dc_1bs[158]   -0.33     nan   1.14   -1.65   -1.27   -0.65     0.6     1.55    nan   4.52
dc_1bs[159]   -0.09     nan   0.93   -1.61   -0.72    -0.2    0.51      1.4    nan   2.88
dc_1bs[160]    0.27     nan   1.09   -0.88   -0.83   -0.19     1.5     1.57    nan   3.67
dc_1bs[161]   -0.48     nan   1.21   -1.86   -1.45   -0.55   -0.39     2.07    nan   2.84
dc_1bs[162]   -0.11     nan   1.03   -1.28   -0.99   -0.23    0.09     1.81    nan    2.7
dc_1bs[163]   -1.15     nan   0.85    -2.0   -1.68   -1.41   -0.71     0.47    nan   3.57
dc_1bs[164]   -0.09     nan   1.31   -1.46   -1.22   -0.72    1.01     2.08    nan   2.22
dc_1bs[165]    0.09     nan   1.42   -1.64   -1.33    0.09    1.06      2.5    nan    2.8
dc_1bs[166]    0.35     nan   1.11   -1.05   -0.37   -0.31    1.52     1.91    nan   4.22
dc_1bs[167]   -0.26     nan   0.39   -0.88   -0.68    -0.2    0.06     0.39    nan   1.82
dc_1bs[168]    0.48     nan   1.25   -1.32   -1.12    0.68    1.63     2.26    nan   2.29
dc_1bs[169]     0.5     nan   0.74    -1.0    0.17    0.35    0.65     1.83    nan   1.43
dc_1bs[170]    0.73     nan   1.11   -1.48   -0.24    1.17    1.64     1.97    nan   1.72
dc_1bs[171]    0.85     nan   0.68   -0.49    0.29    0.96    1.32     1.71    nan   2.43
dc_1bs[172]   -0.44     nan    0.9    -2.0   -1.05   -0.14   -0.06     0.87    nan   4.04
dc_1bs[173]    0.25     nan   1.13   -1.73   -0.27   -0.12     1.3     1.77    nan   3.82
dc_1bs[174]     1.0     nan   0.83   -0.31     0.1    1.29    1.73     1.92    nan   5.04
dc_1bs[175]   -0.38     nan   0.85   -1.38   -1.35    -0.4    0.36     0.87    nan    3.1
dc_1bs[176]   -0.78     nan   0.86   -2.19   -1.49   -0.71    0.11     0.36    nan   2.07
dc_1bs[177]   -0.59     nan   0.84   -1.77    -1.4   -0.54    0.33     0.56    nan   7.38
dc_1bs[178]    -0.4     nan   1.13   -1.28   -1.26   -0.99    0.01     1.83    nan   2.85
dc_1bs[179]    0.69     nan   1.27   -2.12 -3.4e-3    1.47    1.47     1.66    nan   2.99
dc_1bs[180]    0.49     nan   0.77   -0.82   -0.15    0.77    1.18     1.42    nan   3.54
dc_1bs[181]   -0.49     nan   0.65   -1.78   -0.54   -0.44   -0.01      0.3    nan    3.0
dc_1bs[182]    0.32     nan   1.06    -1.6   -0.48    0.63     1.1     1.45    nan    2.6
dc_1bs[183]    1.13     nan   0.43   -0.32    1.06     1.2    1.42     1.49    nan   1.34
dc_1bs[184]   -0.07     nan    1.0   -1.25   -1.18    0.05    0.28     1.81    nan   2.28
dc_1bs[185]    0.12     nan   0.98   -1.21   -1.05    0.12    0.74     1.92    nan   2.18
